datetime,hour,pred_car,pred_bike,pred_heavy,pred_pedestrian,pred_total_people,car,bike,pedestrian,heavy,total,parking_occupied
2026-01-27 00:00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27 01:00:00,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27 02:00:00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27 03:00:00,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27 04:00:00,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27 05:00:00,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27 06:00:00,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27 07:00:00,7,0.0,0.0,0.0,0.0,0.010739856802,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27 08:00:00,8,32.649895371895994,2.095219841376999,3.7838946520689998,0.9925294412589998,38.834057620765506,32.649895371895994,2.095219841376999,0.9925294412589998,3.7838946520689998,39.521539306601,32.649895371895994
2026-01-27 09:00:00,9,44.31270005258153,4.768033421121502,2.374595172249,11.168582532911996,65.40725772245047,44.31270005258153,4.768033421121502,11.168582532911996,2.374595172249,62.623911178864034,76.96259542447753
2026-01-27 10:00:00,10,41.767184910677514,5.570471366742002,2.0182079771395,30.15561784304998,79.38989616504648,41.767184910677514,5.570471366742002,30.15561784304998,2.0182079771395,79.51148209760899,118.72978033515504
2026-01-27 11:00:00,11,35.339714947351005,5.757404689151,3.502578968050001,18.596943217609002,65.38569276113249,36.6266420852775,9.809828258121167,38.51475421777134,2.660875318498834,87.61209987966885,122.70652704853654
2026-01-27 12:00:00,12,40.68014940661352,11.486542602774001,2.949780893024,51.390490447417505,102.14402773070398,36.6266420852775,9.809828258121167,38.51475421777134,2.660875318498834,87.61209987966885,115.0204690812325
2026-01-27 13:00:00,13,33.860061901868,12.185537482438502,1.5302660944225002,45.556828988287506,100.0706668513185,36.6266420852775,9.809828258121167,38.51475421777134,2.660875318498834,87.61209987966885,109.87992625583252
2026-01-27 14:00:00,14,27.530111314481005,6.089230458425,1.704590533039,26.644639822741006,66.2952418401935,27.530111314481005,6.089230458425,26.644639822741006,1.704590533039,61.96857212868601,100.78339548503601
2026-01-27 15:00:00,15,32.293764288080496,6.703284313683501,2.3845963070325,35.975687996825506,80.042021720275,32.293764288080496,6.703284313683501,35.975687996825506,2.3845963070325,77.357332905622,96.45051768783901
2026-01-27 16:00:00,16,30.03891715273,4.786770704355503,2.0294711134620003,7.902386202794507,48.18200974728699,30.03891715273,4.786770704355503,7.902386202794507,2.0294711134620003,44.75754517334202,89.86279275529151
2026-01-27 17:00:00,17,0.3597172836829997,0.021634615384,0.0,0.0,0.3593697552469998,0.3597172836829997,0.021634615384,0.0,0.0,0.38135189906699973,62.69239872449349
2026-01-27 18:00:00,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.398634436413
2026-01-27 19:00:00,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3597172836829997
2026-01-27 20:00:00,20,0.0,0.0,0.0,0.0,0.010613207547,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27 21:00:00,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27 22:00:00,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-27 23:00:00,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
