hour,car_dry,car_rainy,car_diff,car_pct_change,bike_dry,bike_rainy,bike_diff,bike_pct_change,pedestrian_dry,pedestrian_rainy,pedestrian_diff,pedestrian_pct_change,heavy_dry,heavy_rainy,heavy_diff,heavy_pct_change,total_people_dry,total_people_rainy,total_people_diff,total_people_pct_change
0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
2,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
4,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
6,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
7,0.129629016535,0.0,-0.129629016535,-100.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.129629016535,0.0,-0.129629016535,-100.0
8,10.301699258534999,0.0,-10.301699258534999,-100.0,1.2740253173775,0.0,-1.2740253173775,-100.0,1.8631846724749999,0.0,-1.8631846724749999,-100.0,0.0,0.0,0.0,,13.4389092483875,0.0,-13.4389092483875,-100.0
9,17.688553197105406,30.022346368725,12.333793171619593,69.7275409366885,3.701161591527027,0.5,-3.201161591527027,-86.49072763684144,8.36449453981081,2.25139664805,-6.11309789176081,-73.08388884307978,0.0,0.0,0.0,,29.754209328443245,32.773743016775,3.019533688331755,10.14825719279074
10,17.952623855083782,0.0,-17.952623855083782,-100.0,4.013663591991891,0.0,-4.013663591991891,-100.0,17.78233193483784,7.0,-10.782331934837838,-60.6350841630275,0.0,0.0,0.0,,39.748619381913514,7.0,-32.748619381913514,-82.38932544362748
11,14.431309356178378,17.00597269625,2.5746633400716235,17.840815940719544,3.9670000155243246,6.50597269625,2.538972680725675,64.00233604209087,14.586642115732431,26.815282760449996,12.228640644717565,83.83451480946637,0.0,0.0,0.0,,32.98495148743513,50.32722815295,17.342276665514866,52.5763291545874
12,22.152196455005406,0.0,-22.152196455005406,-100.0,7.80441137164865,0.0,-7.80441137164865,-100.0,35.900204530694594,1.0,-34.900204530694594,-97.21450054930744,0.0,0.0,0.0,,65.85681235734864,1.0,-64.85681235734864,-98.4815542019042
13,18.515779248224998,12.666666666666666,-5.849112581558332,-31.589880734396058,6.330893195503125,2.0,-4.330893195503125,-68.40888104982386,31.94771860509375,12.666666666666666,-19.281051938427083,-60.3518898383965,0.0,0.0,0.0,,56.79439104882188,27.333333333333332,-29.461057715488547,-51.8731817903692
14,12.884179948181579,15.75,2.865820051818421,22.242937178340878,3.6084783072815787,1.75,-1.8584783072815787,-51.5031032203059,15.312928118607894,18.75,3.4370718813921055,22.44555616515603,0.0,0.0,0.0,,31.805586374071048,36.25,4.444413625928952,13.97368868995977
15,15.389527644059461,14.75,-0.639527644059461,-4.155602815440059,3.581542512894594,2.25,-1.3315425128945941,-37.17790611449268,17.345464810083783,11.87506948305,-5.470395327033783,-31.53789988869926,0.0,0.0,0.0,,36.31653496703784,28.875069483050005,-7.441465483987834,-20.49057128038776
16,12.809691936914636,4.333333333333333,-8.476358603581303,-66.17144772353467,4.329182655146341,0.3333333333333333,-3.9958493218130076,-92.30031717564327,7.192977433290244,1.3352059925,-5.857771440790244,-81.4373671420064,0.0,0.0,0.0,,24.33185202535122,6.001872659166668,-18.329979366184553,-75.33326829000377
17,0.2179020320738095,0.0,-0.2179020320738095,-100.0,0.025755494504761906,0.0,-0.025755494504761906,-100.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.24365752657857143,0.0,-0.24365752657857143,-100.0
18,0.0,0.33821871476666665,0.33821871476666665,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.33821871476666665,0.33821871476666665,
19,0.012018267766666667,0.0,-0.012018267766666667,-100.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.012018267766666667,0.0,-0.012018267766666667,-100.0
20,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
21,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
22,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
23,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
